,Date,Open,Low,High,Close,Volume
5195,2020-06-25,303.47,301.28,307.64,307.35,88966079.0
5196,2020-06-26,306.16,299.42,306.39,300.05,127811745.0
5197,2020-06-29,301.41,298.93,304.61,304.46,79773260.0
5198,2020-06-30,303.99,303.82,310.2,308.36,112828251.0
5199,2020-07-01,309.57,309.07,311.89,310.52,71910372.0
5200,2020-07-02,314.24,311.51,315.7,312.23,69214995.0
5201,2020-07-06,316.37,315.56,317.68,317.05,61149258.0
5202,2020-07-07,315.38,313.37,317.52,313.78,82583406.0
5203,2020-07-08,314.61,312.7,316.3,316.18,54202602.0
5204,2020-07-09,316.84,310.68,317.1,314.38,83079092.0
5205,2020-07-10,314.31,312.76,317.88,317.59,57454436.0
5206,2020-07-13,320.13,314.13,322.71,314.84,102549097.0
5207,2020-07-14,313.3,312.0,319.76,318.92,92791839.0
5208,2020-07-15,322.41,319.27,323.04,321.85,86921534.0
5209,2020-07-16,319.79,319.09,321.28,320.79,54433414.0
5210,2020-07-17,321.88,319.74,322.57,321.72,64421802.0
5211,2020-07-20,321.43,320.62,325.13,324.32,56150230.0
5212,2020-07-21,326.45,323.94,326.93,325.01,57245315.0
5213,2020-07-22,324.62,324.5,327.2,326.86,57792915.0
5214,2020-07-23,326.47,321.48,327.23,322.96,75737989.0
5215,2020-07-24,320.95,319.246,321.99,320.88,73766597.0
5216,2020-07-27,321.63,320.775,323.41,323.22,48292970.0
5217,2020-07-28,322.43,320.85,323.64,321.17,57494979.0
5218,2020-07-29,322.12,322.075,325.73,325.12,48454159.0
5219,2020-07-30,321.9,319.64,324.41,323.96,61861714.0
5220,2020-07-31,325.9,321.33,326.63,326.52,85210755.0
5221,2020-08-03,328.32,327.73,329.62,328.79,53077948.0
5222,2020-08-04,327.86,327.86,330.06,330.06,41917893.0
5223,2020-08-05,331.47,331.18,332.39,332.11,42866354.0
5224,2020-08-06,331.4799,331.13,334.46,334.33,43679447.0
5225,2020-08-07,333.28,332.3,334.88,334.57,57308270.0
5226,2020-08-10,335.06,332.955,335.77,335.57,44282089.0
5227,2020-08-11,336.85,332.01,337.54,332.8,69601087.0
5228,2020-08-12,335.44,332.8377,338.28,337.44,53826128.0
5229,2020-08-13,336.61,335.83,338.2514,336.83,41816146.0
5230,2020-08-14,336.41,335.62,337.42,336.84,47260390.0
